Name,Rank,Value,SleeperId,Pos,Team
Bijan Robinson,1,10256,9509,RB,ATL
Josh Allen,2,10018,4984,QB,BUF
Drake Maye,3,9785,11564,QB,NE
Jahmyr Gibbs,4,9558,9221,RB,DET
Ja'Marr Chase,5,9336,7564,WR,CIN
Jaxon Smith-Njigba,6,9119,9488,WR,SEA
Brock Bowers,7,8907,11604,TE,LV
Puka Nacua,8,8700,9493,WR,LAR
Caleb Williams,9,8498,11560,QB,CHI
Jayden Daniels,10,8301,11566,QB,WAS
Trey McBride,11,8108,8130,TE,ARI
Malik Nabers,12,7920,11632,WR,NYG
Ashton Jeanty,13,7736,12527,RB,LV
Justin Jefferson,14,7556,6794,WR,MIN
Amon-Ra St. Brown,15,7381,7547,WR,DET
De'Von Achane,16,7209,9226,RB,MIA
Joe Burrow,17,7042,6770,QB,CIN
Jeremiyah Love,18,6878,13287,RB,ARI
CeeDee Lamb,19,6719,6786,WR,DAL
Omarion Hampton,20,6563,12507,RB,LAC
Lamar Jackson,21,6410,4881,QB,BAL
Justin Herbert,22,6261,6797,QB,LAC
Patrick Mahomes,23,6116,4046,QB,KC
Colston Loveland,24,5974,12517,TE,CHI
Drake London,25,5835,8112,WR,ATL
Jaxson Dart,26,5699,12508,QB,NYG
Jalen Hurts,27,5567,6904,QB,PHI
Tetairoa McMillan,28,5438,12526,WR,CAR
Trevor Lawrence,29,5312,7523,QB,JAX
Tyler Warren,30,5188,12518,TE,IND
Emeka Egbuka,31,5068,12514,WR,TB
Jonathan Taylor,32,4950,6813,RB,IND
James Cook,33,4835,8138,RB,BUF
Garrett Wilson,34,4723,8146,WR,NYJ
George Pickens,35,4613,8137,WR,DAL
Bo Nix,36,4506,11563,QB,DEN
Brock Purdy,37,4401,8183,QB,SF
Carnell Tate,38,4299,13279,WR,TEN
Breece Hall,39,4199,8155,RB,NYJ
Ladd McConkey,40,4102,11635,WR,LAC
Jordan Love,41,4006,6804,QB,GB
Kenneth Walker,42,3913,8151,RB,KC
Quinshon Judkins,43,3822,12512,RB,CLE
Nico Collins,44,3734,7569,WR,HOU
Chris Olave,45,3647,8144,WR,NO
TreVeyon Henderson,46,3562,12513,RB,NE
Rome Odunze,47,3479,11620,WR,CHI
Fernando Mendoza,48,3399,13269,QB,LV
Marvin Harrison,49,3320,11628,WR,ARI
Tucker Kraft,50,3243,9484,TE,GB
Christian McCaffrey,51,3167,4034,RB,SF
Zay Flowers,52,3094,8133,WR,BAL
Dak Prescott,53,3022,3294,QB,DAL
Harold Fannin Jr.,54,2952,12506,TE,CLE
Luther Burden III,55,2883,12519,WR,CHI
Kyle Pitts,56,2816,7553,TE,ATL
Brian Thomas,57,2751,11631,WR,JAX
A.J. Brown,58,2624,5859,WR,NE
Baker Mayfield,59,2564,4892,QB,TB
Chase Brown,60,2504,9224,RB,CIN
Javonte Williams,61,2446,7588,RB,DAL
Saquon Barkley,62,2389,4866,RB,PHI
Jaylen Waddle,63,2334,7526,WR,DEN
Jordyn Tyson,64,2279,13281,WR,NO
Tee Higgins,65,2226,6801,WR,CIN
Jared Goff,66,2175,3163,QB,DET
DeVonta Smith,67,2124,7525,WR,PHI
Makai Lemon,68,2075,13294,WR,PHI
Rashee Rice,69,2027,10229,WR,KC
Cam Skattebo,70,1980,12481,RB,NYG
Jadarian Price,71,1934,13286,RB,SEA
Kyren Williams,72,1889,8150,RB,LAR
Sam LaPorta,73,1845,10859,TE,DET
Cam Ward,74,1802,12522,QB,TEN
KC Concepcion,75,1760,13298,WR,CLE
Jameson Williams,76,1719,8148,WR,DET
Bucky Irving,77,1679,11584,RB,TB
Travis Etienne,78,1640,7543,RB,NO
