name,value,rank
Trey Benson,858,235
Justin Joly,845,236
Elijah Arroyo,841,237
Dontayvion Wicks,841,238
Bryce Lance,820,239
Adonai Mitchell,805,240
Kevin Coleman,801,241
Kyle Williams,779,242
Eli Heidenreich,776,243
Deebo Samuel,769,244
Michael Trigg,754,245
Caleb Douglas,740,246
Jordan James,735,247
Kimani Vidal,733,248
James Conner,726,249
Michael Mayer,708,250
Jaylen Wright,701,251
Evan Engram,687,252
Calvin Ridley,685,253
Emanuel Wilson,681,254
MarShawn Lloyd,678,255
Tez Johnson,674,256
DJ Giddens,669,257
Taylen Green,663,258
Will Howard,660,259
Pat Freiermuth,660,260
Theo Johnson,650,261
Sean Tucker,648,262
Jaydon Blue,633,263
Darnell Mooney,620,264
J'Mari Taylor,613,265
Colby Parkinson,610,266
Ray Davis,605,267
Jalen Milroe,603,268
Cooper Kupp,599,269
Jack Endries,588,270
Riley Leonard,564,271
Marvin Mims,555,272
Deion Burks,548,273
Isaiah Bond,538,274
Zavion Thomas,536,275
CJ Daniels,529,276
Greg Dulcich,521,277
LeQuint Allen,509,278
Seth McGowan,491,279
Jam Miller,490,280
Marcus Mariota,487,281
Ja'Tavion Sanders,476,282
Devin Neal,450,283
Trevor Etienne,444,284
Xavier Legette,431,285
Ryan Flournoy,421,286
Tanner Koziol,418,287
Matt Hibner,418,288
Will Kacmarek,415,289
Cole Kmet,409,290
Jalen Royals,400,291
Rashod Bateman,392,292
Dont'e Thornton,391,293
Marlin Klein,377,294
Christian Kirk,376,295
Joe Flacco,373,296
Quinn Ewers,365,297
Isaiah Davis,365,298
Jalen Tolbert,341,299
Marquise Brown,340,300
Cedric Tillman,308,301
Joe Mixon,304,302
Tyquan Thornton,299,303
Jarquez Hunter,299,304
Brashard Smith,298,305
Ben Sinnott,296,306
Tahj Brooks,295,307
Spencer Rattler,293,308
Cole Payton,292,309
Roman Hemby,289,310
Jahan Dotson,285,311
Keenan Allen,277,312
Mike Gesicki,270,313
Josh Cameron,258,314
Jameis Winston,258,315
DeMario Douglas,258,316
Robert Henry,257,317
Najee Harris,255,318
Sam Roush,253,319
Jaylin Lane,248,320
Kendre Miller,238,321
Joe Milton,237,322
Tyrod Taylor,235,323
