name,value,rank
David Njoku,237.0,210
Jack Bech,236.0,211
Mason Taylor,236.0,211
Braelon Allen,222.0,213
Kaytron Allen,221.0,214
Tank Dell,219.0,215
MarShawn Lloyd,212.0,216
Cyrus Allen,209.0,217
Pat Freiermuth,205.0,218
Isiah Pacheco,205.0,218
Ryan Flournoy,200.0,220
Darnell Mooney,198.0,221
Keon Coleman,195.0,222
Malik Washington,194.0,223
Tory Horton,188.0,224
Michael Mayer,182.0,225
Chimere Dike,178.0,226
Kimani Vidal,173.0,227
Odell Beckham,171.0,228
Kyle Williams,170.0,229
Keenan Allen,167.0,230
Kaleb Johnson,158.0,231
Colby Parkinson,158.0,231
Cooper Kupp,153.0,233
Jaylen Wright,152.0,234
Tre Turner,150.0,235
James Conner,149.0,236
Theo Johnson,139.0,237
Marquise Brown,138.0,238
Evan Engram,133.0,239
Marvin Mims,129.0,240
Xavier Legette,126.0,241
Devaughn Vele,125.0,242
Derek Carr,121.0,243
Christian Kirk,120.0,244
Chase Claypool,119.0,245
Ollie Gordon,118.0,246
Seth McGowan,117.0,247
Isaiah Bond,114.0,248
Demond Claiborne,113.0,249
Trey Benson,107.0,250
Jarquez Hunter,102.0,251
Ben Sinnott,102.0,251
Jordan James,101.0,253
Emanuel Wilson,100.0,254
Ray Davis,99.0,255
Jaydon Blue,99.0,255
Tez Johnson,99.0,255
Tyquan Thornton,97.0,258
Jalen Royals,93.0,259
Sean Tucker,91.0,260
Chris Brooks,88.0,261
Adam Randall,87.0,262
Justin Joly,87.0,262
Cade Klubnik,84.0,264
George Holani,82.0,265
Darius Slayton,82.0,265
Amari Cooper,82.0,265
Malik Davis,81.0,268
Auden Tate,79.0,269
Deon Jackson,77.0,270
Kendre Miller,73.0,271
Devin Neal,72.0,272
Eli Heidenreich,71.0,273
Andrei Iosivas,70.0,274
Najee Harris,70.0,274
Darrell Henderson,70.0,274
Joshua Dobbs,69.0,277
Myles Gaskin,66.0,278
Trevor Etienne,64.0,279
Michael Thomas,62.0,280
Isaiah Davis,61.0,281
Mack Hollins,61.0,281
Justice Hill,59.0,283
DJ Giddens,57.0,284
Devin Singletary,57.0,284
Kevin Coleman,56.0,286
Bryce Lance,56.0,286
Will Shipley,52.0,288
John Metchie,52.0,288
Cedric Tillman,50.0,290
Jerome Ford,48.0,291
Mike Williams,48.0,291
Brashard Smith,48.0,291
LeQuint Allen,47.0,294
Adam Thielen,46.0,295
Jahan Dotson,45.0,296
James White,45.0,296
Deion Burks,44.0,298
Tahj Brooks,42.0,299
Kenyan Drake,39.0,300
Calvin Austin,39.0,300
Tony Jones,37.0,302
Jordan Whittington,37.0,302
Isaac Guerendo,36.0,304
Emari Demercado,35.0,305
Eno Benjamin,33.0,306
Brenen Thompson,33.0,306
Audric Estime,32.0,308
Kyle Philips,32.0,308
Mitchell Trubisky,31.0,310
Russell Wilson,30.0,311
Rashaad Penny,30.0,311
Lynn Bowden,29.0,313
Tommy Mellott,29.0,313
Justyn Ross,29.0,313
Luke McCaffrey,28.0,316
Mitchell Evans,28.0,316
Tutu Atwell,26.0,318
Jalen Tolbert,26.0,318
Zavion Thomas,26.0,318
Ty Johnson,24.0,321
DeVante Parker,21.0,322
Leonard Fournette,21.0,322
Ty Montgomery,19.0,324
Robert Woods,19.0,324
Julio Jones,18.0,326
Damien Martinez,18.0,326
Nick Chubb,17.0,328
Anthony McFarland,17.0,328
Konata Mumpfield,16.0,330
Treylon Burks,16.0,330
Damien Harris,15.0,332
Samaje Perine,15.0,332
Malik Benson,15.0,332
Noah Gray,14.0,335
Luke Schoonmaker,13.0,336
KaVontae Turpin,13.0,336
Jarvis Landry,13.0,336
Diontae Johnson,13.0,336
Amari Rodgers,12.0,340
Mohamed Ibrahim,12.0,340
Jahdae Walker,12.0,340
Darnell Washington,11.0,343
Taylen Green,11.0,343
Will Howard,11.0,343
Jameis Winston,11.0,343
Garrett Nussmeier,11.0,343
Quinn Ewers,11.0,343
Riley Leonard,11.0,343
Justin Fields,11.0,343
Kirk Cousins,11.0,343
Jalen Milroe,11.0,343
Carson Beck,11.0,343
Roschon Johnson,11.0,343
Josh Cameron,11.0,343
Barion Brown,11.0,343
Kalif Raymond,11.0,343
Colbie Young,11.0,343
Roman Wilson,11.0,343
CJ Daniels,11.0,343
Marlin Klein,11.0,343
Cole Kmet,11.0,343
Mike Gesicki,11.0,343
Jake Tonges,11.0,343
Devontez Walker,10.0,365
Dohnte Meyers,10.0,365
Ty Chandler,10.0,365
Kennedy Brooks,9.0,368
Sony Michel,9.0,368
Montrell Johnson,9.0,368
Terion Stewart,9.0,368
Ronnie Bell,9.0,368
KeAndre Lambert-Smith,9.0,368
Jake Bobo,9.0,368
Drew Lock,8.0,375
Cam Akers,8.0,375
Alexander Mattison,8.0,375
Terrell Jennings,8.0,375
Zack Moss,8.0,375
Joe Mixon,8.0,375
Sione Vaki,8.0,375
Jam Miller,8.0,375
Spencer Rattler,8.0,375
Jaylin Lane,8.0,375
Reggie Virgil,8.0,375
Josh Doctson,8.0,375
Joe Reed,8.0,375
Tai Felton,8.0,375
Michael Gallup,8.0,375
Charlie Kolar,8.0,375
Erick All,8.0,375
Marcus Mariota,8.0,375
Dillon Gabriel,8.0,375
Cooper Rush,8.0,375
Kyle McCord,8.0,375
Tom Brady,8.0,375
Tanner Koziol,8.0,375
Tyler Higbee,8.0,375
Jalon Daniels,8.0,375
Cole Payton,8.0,375
Kevin Austin,7.0,401
Joe Milton,7.0,401
Tyson Bagent,7.0,401
Elijah Mitchell,7.0,401
Zach Pascal,7.0,401
Khalil Herbert,7.0,401
Savion Williams,7.0,401
Logan Thomas,7.0,401
Elijah Higgins,7.0,401
Darren Waller,7.0,401
Dawson Knox,7.0,401
AJ Barner,7.0,401
Trey Palmer,7.0,401
Justin Jackson,6.0,414
Rasheen Ali,6.0,414
Raheem Mostert,6.0,414
Emmanuel Sanders,6.0,414
Byron Pringle,6.0,414
Grant Calcaterra,5.0,419
Will Kacmarek,5.0,419
Jonnu Smith,5.0,419
Jack Endries,5.0,419
Cade Stover,5.0,419
