name,Rank
Jack Endries,278.5
Ja'Tavion Sanders,278.75
Cooper Kupp,279.38
Tank Dell,280.13
James Conner,280.14
Cade Klubnik,281.2
Sean Tucker,281.43
Bryce Lance,283.75
Emanuel Wilson,284.0
Evan Engram,285.75
Ollie Gordon II,286.63
Jalen Milroe,286.63
Eli Heidenreich,289.0
Rashod Bateman,289.71
Devaughn Vele,291.0
Brashard Smith,292.6
Hollywood Brown,294.0
Isaiah Davis,295.0
Marvin Mims,295.13
Dontayvion Wicks,295.25
Najee Harris,296.0
Jarquez Hunter,296.57
Ben Sinnott,298.13
Jam Miller,300.0
Jaylen Wright,300.0
Seth McGowan,300.8
Zach Ertz,301.75
Cole Payton,302.5
Jalen Nailor,302.5
Zach Wilson,303.0
Isaac Guerendo,305.17
Kendre Miller,305.4
Jonnu Smith,305.75
Cole Beck,306.0
Brenen Thompson,306.25
Luke Musgrave,306.5
Taylen Green,308.4
Tanner Koziol,308.67
Gardner Minshew,309.0
Trevor Etienne,309.2
Christian Kirk,309.25
Jalen Tolbert,310.33
Tahj Brooks,311.0
Desmond Reid,311.0
Ja'Lynn Polk,311.33
Joe Flacco,311.4
Mike Gesicki,311.63
J'Mari Taylor,312.0
Erick All,312.0
Raheim Sanders,313.0
George Holani,313.0
Dont'e Thornton Jr.,313.8
Kareem Hunt,314.29
Barion Brown,314.5
Ryan Flournoy,315.0
Jaydn Ott,315.0
Sam Roush,315.5
Darnell Washington,315.86
Noah Gray,318.0
Kevin Coleman Jr.,318.0
Jerome Ford,318.33
Elijah Moore,320.0
Nick Chubb,320.86
Dillon Gabriel,323.0
Savion Williams,323.0
Russell Wilson,323.0
Marlin Klein,324.25
DeMario Douglas,324.57
Cole Kmet,324.63
Eric McAlister,326.0
Spencer Rattler,326.5
Dawson Knox,327.6
Zavion Thomas,327.75
Jordan Whittington,328.0
Gabe Davis,328.0
Audric Estime,328.5
Greg Dulcich,329.0
Jake Browning,330.0
Efton Chism,330.33
Roman Wilson,331.5
MarShawn Lloyd,331.83
Roschon Johnson,332.0
Jalen Royals,334.33
C.J. Daniels,335.5
Darren Waller,335.8
LeQuint Allen,336.0
Sam Howell,336.5
Jameis Winston,337.14
Amari Cooper,338.0
Adam Thielen,338.0
Damien Martinez,338.0
Garrett Nussmeier,341.0
Jake Tonges,341.0
Justice Hill,341.5
Treylon Burks,341.75
Lewis Bond,343.0
Curtis Samuel,343.0
Tyler Lockett,343.5
Cyrus Allen,345.0
Tai Felton,345.0
Isaiah Bond,345.8
Will Levis,346.0
Marcus Mariota,346.0
Devin Singletary,346.17
Andrei Iosivas,346.67
Jimmy Horn Jr.,347.0
Daniel Bellinger,347.5
Austin Ekeler,347.8
Noah Brown,348.5
Antonio Gibson,349.67
Deuce Vaughn,350.0
Cole Payton,351.0
Will Howard,353.0
DeAndre Hopkins,353.33
Malachi Corley,354.0
Joshua Palmer,354.0
Emari Demercado,354.5
Phil Mafah,355.0
Quinn Ewers,355.67
Le'Veon Moss,356.0
Zonovan Knight,356.0
Kalel Mullings,356.0
Will Shipley,356.4
John Metchie,356.5
Raheem Mostert,357.0
Miles Sanders,357.5
Jalin Hyatt,358.0
Xavier Restrepo,359.0
Joe Milton,360.0
Noah Fant,360.0
Kendrick Law,362.0
Samaje Perine,362.25
Jahan Dotson,362.5
Michael Carter,363.0
Deion Burks,363.0
Kaden Wetjen,363.0
Jaleel McLaughlin,364.5
Darius Slayton,364.8
Dameon Pierce,365.67
Tyquan Thornton,366.67
Diego Pavia,367.0
Rondale Moore,367.0
Dyami Brown,367.33
Jalon Daniels,369.0
Jaylin Lane,370.0
Calvin Austin,371.4
Davis Mills,371.5
Reggie Virgil,371.5
Luke McCaffrey,372.0
Javon Baker,372.0
Aidan O'Connell,372.0
Jonathan Mingo,375.0
Derek Carr,376.0
Jared Wiley,377.0
Tyler Higbee,378.0
Josh Cuevas,378.0
Tutu Atwell,378.5
Malik Benson,379.0
Will Dissly,379.0
Jaheim Bell,381.0
