name,value,rank,sleeper_id
Kenneth Gainwell,1936.0,171,7567
Rachaad White,1934.0,172,8136
Rico Dowdle,1930.0,173,7021
Ted Hurst,1927.0,174,13317
Elijah Sarratt,1925.0,175,13268
Dylan Sampson,1923.0,176,12469
Chris Rodriguez,1919.0,177,10219
J.K. Dobbins,1916.0,178,6806
Hunter Henry,1914.0,179,3214
Greg Dulcich,1912.0,180,8172
Stefon Diggs,1910.0,181,2449
Woody Marks,1908.0,182,12474
Jordan Mason,1905.0,183,8408
Oscar Delp,1903.0,184,13319
Caleb Douglas,1901.0,185,13296
Eli Raridon,1899.0,186,13421
Malachi Fields,1897.0,187,13285
Geno Smith,1894.0,188,1373
Aaron Jones,1892.0,189,4199
Jalen Nailor,1758.0,190,8180
Aaron Rodgers,1753.0,191,96
Jack Bech,1751.0,192,12483
Kayshon Boutte,1748.0,193,9504
Adonai Mitchell,1746.0,194,11625
Tank Bigsby,1743.0,195,9225
Juwan Johnson,1741.0,196,7002
Kaytron Allen,1739.0,197,13405
Chris Brazzell,1736.0,198,13353
Troy Franklin,1685.0,199,11627
Tank Dell,1682.0,200,9502
Tory Horton,1680.0,201,12497
Tyjae Spears,1677.0,202,9508
Tre Tucker,1674.0,203,10213
Deshaun Watson,1672.0,204,4017
Elijah Arroyo,1669.0,205,12521
Mike Washington,1667.0,206,13305
Tyreek Hill,1664.0,207,3321
Cyrus Allen,1661.0,208,13413
Tyler Allgeier,1659.0,209,8132
Pat Bryant,1597.0,210,12492
Kaelon Black,1594.0,211,13414
Keaton Mitchell,1591.0,212,9511
Braelon Allen,1589.0,213,11576
Malik Washington,1580.0,214,11610
Dontayvion Wicks,1578.0,215,9486
Deebo Samuel,1575.0,216,5872
Kaleb Johnson,1572.0,217,12504
Isaac TeSlaa,1569.0,218,12535
Mason Taylor,1567.0,219,12498
Pat Freiermuth,1564.0,220,7600
Cade Otton,1487.0,221,8111
David Njoku,1484.0,222,4033
Brian Robinson,1482.0,223,8154
Max Klare,1479.0,224,13278
Michael Mayer,1476.0,225,9482
Skyler Bell,1473.0,226,13402
Keon Coleman,1470.0,227,11637
Jerry Jeudy,1465.0,228,6783
Demond Claiborne,1462.0,229,13347
Jauan Jennings,1459.0,230,7049
Kirk Cousins,1393.0,231,1166
Kyle Williams,1390.0,232,12547
Isiah Pacheco,1387.0,233,8205
Elic Ayomanor,1384.0,234,12499
Adam Randall,1381.0,235,13302
Justin Joly,1378.0,236,13400
Jake Tonges,1375.0,237,8698
Kimani Vidal,1372.0,238,11647
Zavion Thomas,1369.0,239,13411
Alvin Kamara,1363.0,240,4035
Jordan James,1360.0,241,12467
Colby Parkinson,1357.0,242,6865
Jalen Milroe,1354.0,243,12510
Ryan Flournoy,1350.0,244,11783
Jaylen Wright,1347.0,245,11643
Ray Davis,1344.0,246,11575
Anthony Richardson,1341.0,247,9229
Ollie Gordon,1338.0,248,12495
Theo Johnson,1335.0,249,11597
Cole Kmet,1332.0,250,6826
Cade Klubnik,1329.0,251,13303
Rashod Bateman,1170.0,252,7571
Chimere Dike,1166.0,253,12540
Evan Engram,1163.0,254,4066
Sean Tucker,1160.0,255,9506
Seth McGowan,1156.0,256,13424
Keenan Allen,1153.0,257,1479
Darnell Washington,1150.0,258,9479
Najee Harris,1146.0,259,7528
LeQuint Allen,1092.0,260,12544
Justin Fields,1090.0,261,7591
Tez Johnson,1088.0,262,12485
Malik Davis,1086.0,263,8800
Isaiah Bond,1083.0,264,12503
Marvin Mims,1081.0,265,9494
Bryce Lance,1079.0,266,13420
Devaughn Vele,1072.0,267,11834
Calvin Ridley,1070.0,268,4981
Trey Benson,1068.0,269,11589
Isaiah Davis,1012.0,270,11571
Malik Benson,1010.0,271,13329
Xavier Hutchinson,1009.0,272,10218
Xavier Legette,1007.0,273,11626
DJ Giddens,1003.0,274,12471
Ja'Tavion Sanders,1001.0,275,11600
Darnell Mooney,998.0,276,7090
Darren Waller,996.0,277,2505
Joe Milton,994.0,278,11557
Cooper Kupp,992.0,279,4039
DeMario Douglas,990.0,280,9501
Barion Brown,989.0,281,13533
Will Kacmarek,932.0,282,13434
Brandon Aiyuk,930.0,283,6803
Kevin Coleman,928.0,284,13338
Brenen Thompson,927.0,285,13380
Devin Neal,925.0,286,12476
George Holani,923.0,287,12048
Kendre Miller,921.0,288,9757
Marlin Klein,920.0,289,13307
Emanuel Wilson,918.0,290,11435
Quinn Ewers,916.0,291,12500
Dont'e Thornton,915.0,292,12541
Trevor Etienne,913.0,293,12531
Erick All,911.0,294,11592
Roman Wilson,910.0,295,11630
Chris Brooks,908.0,296,11370
Jaylin Lane,906.0,297,12641
Dawson Knox,904.0,298,5906
Tyquan Thornton,903.0,299,8188
Matt Hibner,831.0,300,13324
Eli Heidenreich,829.0,301,13423
Ben Sinnott,826.0,302,11596
Will Howard,825.0,303,12511
Mike Gesicki,823.0,304,4993
Jalen Royals,822.0,305,12505
James Conner,820.0,306,4137
Justice Hill,818.0,307,5995
Jaydon Blue,817.0,308,12457
Luke Musgrave,815.0,309,9481
Brashard Smith,814.0,310,12455
Jahan Dotson,812.0,311,8119
Noah Gray,811.0,312,7828
Andrei Iosivas,809.0,313,10226
Christian Kirk,808.0,314,4950
Tahj Brooks,806.0,315,12543
Charlie Kolar,804.0,316,8127
Taylen Green,803.0,317,13306
Jalen Tolbert,801.0,318,8117
Garrett Nussmeier,800.0,319,13404
Daniel Bellinger,798.0,320,8225
Michael Trigg,797.0,321,13401
Tommy Tremble,795.0,322,7694
Josh Cameron,794.0,323,13394
Jarquez Hunter,792.0,324,11569
Riley Leonard,790.0,325,12470
Treylon Burks,696.0,326,8135
Noah Fant,693.0,327,5857
Sam Roush,692.0,328,13322
Cade Stover,690.0,329,11599
Tanner Koziol,689.0,330,13408
Savion Williams,688.0,331,12482
Tyler Higbee,686.0,332,3271
Spencer Rattler,685.0,333,11562
Jameis Winston,683.0,334,2306
CJ Daniels,682.0,335,13270
Jack Endries,681.0,336,13282
Deion Burks,679.0,337,13333
Tyson Bagent,640.0,338,11256
J'Mari Taylor,639.0,339,13348
Will Shipley,637.0,340,11577
Joshua Palmer,636.0,341,7670
Mitchell Evans,635.0,342,12473
Luke McCaffrey,634.0,343,11650
Tai Felton,632.0,344,12496
Roschon Johnson,631.0,345,10235
Audric Estime,630.0,346,11579
Marquise Brown,629.0,347,5848
Tutu Atwell,603.0,348,7562
Jimmy Horn,601.0,349,12523
Emari Demercado,600.0,350,11199
KeAndre Lambert-Smith,599.0,351,12670
Jordan Whittington,598.0,352,11623
Isaac Guerendo,596.0,353,11651
Luke Schoonmaker,595.0,354,10871
Marcus Mariota,594.0,355,2307
Darius Slayton,593.0,356,6149
Elijah Higgins,569.0,357,10231
Jam Miller,568.0,358,13403
Davis Mills,567.0,359,7585
Cedric Tillman,566.0,360,10444
John Metchie,565.0,361,8147
Ty Johnson,564.0,362,6039
Samaje Perine,562.0,363,4147
Damien Martinez,561.0,364,12462
Joe Flacco,560.0,365,19
Devontez Walker,559.0,366,11629
Davis Allen,558.0,367,10214
Konata Mumpfield,557.0,368,12718
Dyami Brown,556.0,369,7587
Tyler Huntley,555.0,370,7083
Jonnu Smith,554.0,371,4144
Greg Dortch,552.0,372,5970
Jordan Watkins,551.0,373,12634
Brevin Jordan,550.0,374,7568
Kameron Johnson,549.0,375,11994
Dillon Gabriel,548.0,376,12486
Jalin Hyatt,547.0,377,9497
Jaleel McLaughlin,546.0,378,11439
Olamide Zaccheaus,545.0,379,6271
Calvin Austin,488.0,380,8125
KaVontae Turpin,487.0,381,8917
Jared Wiley,486.0,382,11595
Kendrick Bourne,485.0,383,4454
Sam Howell,484.0,384,8162
Trey Palmer,482.0,385,9492
Gardner Minshew,481.0,386,6011
Rasheen Ali,480.0,387,11570
Jerome Ford,479.0,388,8143
Tanner McKee,478.0,389,9230
Cole Payton,477.0,390,13335
Will Levis,476.0,391,9999
Raheim Sanders,475.0,392,12472
Malachi Corley,474.0,393,11617
Elijah Moore,473.0,394,7596
Mack Hollins,472.0,395,4177
