name,originalRank,effectiveRank,derivationMethod,family,normalizedValue,matchedSourceName,position,team
Aidan Hutchinson,1,1,direct_combined,DL,9999,Aidan Hutchinson,DE,DET
Will Anderson Jr.,2,2,direct_combined,DL,9849,Will Anderson Jr.,DE,HOU
Jack Campbell,3,3,direct_combined,LB,9684,Jack Campbell,LB,DET
Roquan Smith,4,4,direct_combined,LB,9515,Roquan Smith,LB,BAL
Jordyn Brooks,5,5,direct_combined,LB,9347,Jordyn Brooks,LB,MIA
Carson Schwesinger,6,6,direct_combined,LB,9180,Carson Schwesinger,LB,CLE
Fred Warner,7,7,direct_combined,LB,9016,Fred Warner,LB,SF
Foyesade Oluokun,8,8,direct_combined,LB,8855,Foyesade Oluokun,LB,JAC
Myles Garrett,9,9,direct_combined,DL,8698,Myles Garrett,DE,LAR
Zack Baun,10,10,direct_combined,LB,8544,Zack Baun,LB,PHI
Maxx Crosby,11,11,direct_combined,DL,8394,Maxx Crosby,DE,LV
Edgerrin Cooper,12,12,direct_combined,LB,8248,Edgerrin Cooper,LB,GB
Cedric Gray,13,13,direct_combined,LB,8105,Cedric Gray,LB,TEN
Nick Bolton,14,14,direct_combined,LB,7967,Nick Bolton,LB,KC
Ernest Jones IV,15,15,direct_combined,LB,7831,Ernest Jones IV,LB,SEA
Nick Bosa,16,16,direct_combined,DL,7700,Nick Bosa,DE,SF
Jamien Sherwood,17,17,direct_combined,LB,7572,Jamien Sherwood,LB,NYJ
Quay Walker,18,18,direct_combined,LB,7447,Quay Walker,LB,LV
Blake Cashman,19,19,direct_combined,LB,7326,Blake Cashman,LB,MIN
Zaire Franklin,20,20,direct_combined,LB,7208,Zaire Franklin,LB,GB
Quincy Williams,21,21,direct_combined,LB,7093,Quincy Williams,LB,CLE
Brian Burns,22,22,direct_combined,DL,6981,Brian Burns,DE,NYG
Daiyan Henley,23,23,direct_combined,LB,6872,Daiyan Henley,LB,LAC
Kyle Hamilton,24,24,direct_combined,DB,6766,Kyle Hamilton,S,BAL
Nick Emmanwori,25,25,direct_combined,DB,6663,Nick Emmanwori,S,SEA
Robert Spillane,26,26,direct_combined,LB,6562,Robert Spillane,LB,NE
Tremaine Edmunds,27,27,direct_combined,LB,6464,Tremaine Edmunds,LB,NYG
Alex Singleton,28,28,direct_combined,LB,6369,Alex Singleton,LB,DEN
Micah Parsons,29,29,direct_combined,LB,6276,Micah Parsons,LB,GB
Nik Bonitto,30,30,direct_combined,DL,6185,Nik Bonitto,DE,DEN
T.J. Edwards,31,31,direct_combined,LB,6097,T.J. Edwards,LB,CHI
Derwin James Jr.,32,32,direct_combined,DB,6011,Derwin James Jr.,S,LAC
Devin Lloyd,33,33,direct_combined,LB,5927,Devin Lloyd,LB,CAR
Nate Landman,34,34,direct_combined,LB,5845,Nate Landman,LB,LAR
Jalen Carter,35,35,direct_combined,DL,5765,Jalen Carter,DT,PHI
Payton Wilson,36,36,direct_combined,LB,5687,Payton Wilson,LB,PIT
Azeez Al-Shaair,37,37,direct_combined,LB,5610,Azeez Al-Shaair,LB,HOU
Nakobe Dean,38,38,direct_combined,LB,5536,Nakobe Dean,LB,LV
