name,value
John Metchie,1518
Johnny Wilson,522
Jonah Coleman,3078
Jonathan Mingo,1104
Jonathan Taylor,5994
Jonathon Brooks,3087
Jonnu Smith,1666
Jordan Addison,3976
Jordan James,2122
Jordan Love,5615
Jordan Mason,2645
Jordan Watkins,1110
Jordan Whittington,1559
Jordyn Tyson,5291
Josh Allen,9991
Josh Downs,3598
Josh Jacobs,4429
Josh Oliver,1036
Joshua Palmer,1640
JuJu Smith-Schuster,520
Julius Chestnut,522
Justice Hill,1357
Justin Fields,2114
Justin Herbert,6836
Justin Jefferson,7765
Justin Joly,1965
Juwan Johnson,3052
Kaelon Black,1217
Kaleb Johnson,2410
Kalel Mullings,1074
Kameron Johnson,1212
Kareem Hunt,941
KaVontae Turpin,1199
Kayshon Boutte,2788
Kaytron Allen,2473
KC Concepcion,4520
KeAndre Lambert-Smith,1568
Keaton Mitchell,2398
Keenan Allen,1495
Kendall Milton,798
Kendre Miller,1894
Kendrick Bourne,1451
Kenneth Gainwell,2762
Kenneth Walker,5458
Kenny McIntosh,1010
Kenny Pickett,1073
Kenyon Sadiq,5096
Keon Coleman,2450
Kevin Coleman,1709
Khalil Herbert,565
Khalil Shakir,3003
Kimani Vidal,2186
Kirk Cousins,2020
Konata Mumpfield,1421
Kyle Monangai,3593
Kyle Pitts,5400
Kyle Williams,2489
Kyler Murray,4084
Kyren Williams,4869
Ladd McConkey,5308
Lamar Jackson,7656
Le'Veon Moss,1003
LeQuint Allen,2087
Lil'Jordan Humphrey,991
Luke McCaffrey,1696
Luke Musgrave,2514
Luke Schoonmaker,1816
Luther Burden,5221
Mac Jones,2711
Mack Hollins,1171
Makai Lemon,5054
Malachi Corley,1235
Malachi Fields,2667
Malik Davis,1312
Malik Nabers,7857
Malik Washington,2500
Malik Willis,3989
Marcus Mariota,1380
Mark Andrews,3501
Marquise Brown,1750
MarShawn Lloyd,1832
Marvin Harrison,5046
Marvin Mims,2197
Mason Rudolph,689
Mason Taylor,3096
Mason Tipton,990
Matthew Golden,3782
Matthew Stafford,3648
Max Klare,2739
Michael Carter,1026
Michael Mayer,2820
Michael Penix,3135
