name,value,rank
Kirk Cousins,6.7,215
Jauan Jennings,6.7,215
Malik Washington,6.6,220
Cade Otton,6.6,220
Justin Fields,6.6,220
Kayshon Boutte,6.6,220
Jalen Milroe,6.5,224
Jaydon Blue,6.5,224
Tank Dell,6.5,224
Hunter Henry,6.4,227
Tyreek Hill,6.4,227
Alvin Kamara,6.4,227
Dontayvion Wicks,6.3,230
Pat Bryant,6.3,230
Jaylen Wright,6.3,230
Elic Ayomanor,6.3,230
Jordan James,6.2,234
Chimere Dike,6.2,234
Dalton Schultz,6.2,234
Odell Beckham,6.2,234
Zavion Thomas,6.1,238
Cade Klubnik,5.9,239
Justin Joly,5.9,239
Ray Davis,5.9,239
Sean Tucker,5.8,242
Pat Freiermuth,5.8,242
Deebo Samuel,5.7,244
David Njoku,5.6,245
Mason Taylor,5.6,245
Caleb Douglas,5.5,247
Elijah Arroyo,5.5,247
Ryan Flournoy,5.5,247
Darnell Mooney,5.5,247
Marlin Klein,5.5,247
Adam Randall,5.4,252
Will Howard,5.4,252
Darius Slayton,5.4,252
Michael Mayer,5.4,252
Trey Benson,5.4,252
Greg Dulcich,5.4,252
Kyle Williams,5.3,258
Kyle Williams,5.3,258
Kyle Williams,5.3,258
Eli Heidenreich,5.2,261
LeQuint Allen,5.2,261
Emanuel Wilson,5.1,263
DJ Giddens,5.1,263
James Conner,5.1,263
Jake Tonges,5.1,263
Tutu Atwell,5.1,263
Quinn Ewers,5.1,263
Bryce Lance,5.1,263
Dont'e Thornton,5.0,270
Joe Milton,5.0,270
Andrei Iosivas,5.0,270
Christian Kirk,5.0,270
Devin Neal,4.9,274
Rashod Bateman,4.9,274
Darnell Washington,4.9,274
Calvin Ridley,4.9,274
Theo Johnson,4.9,274
Isaiah Davis,4.8,279
Riley Leonard,4.8,279
Cooper Kupp,4.8,279
Cedric Tillman,4.7,282
Luke McCaffrey,4.7,282
Tyrod Taylor,4.6,284
Nick Chubb,4.6,284
Isaiah Bond,4.6,284
