name,position,rank
Hunter Henry,TE,234
Nick Herbig,DL,235
Budda Baker,DB,236
Byron Murphy,DL,237
Tyjae Spears,RB,238
Chase Young,DL,239
Tre' Harris,WR,240
Keaton Mitchell,RB,241
Emmanuel McNeil-Warren,DB,242
Aaron Rodgers,QB,243
Kaden Elliss,LB,244
Jalen Carter,DL,245
Gunnar Helm,TE,246
De'Zhaun Stribling,WR,247
Xavier Watts,DB,248
Payton Wilson,LB,249
Patrick Queen,LB,250
