name,rank,position,team,age,years_exp
Jack Campbell,1,IDP,DET,25,3
Jordyn Brooks,2,IDP,MIA,28,6
Roquan Smith,3,IDP,BAL,29,8
Ernest Jones IV,4,IDP,SEA,26,5
Fred Warner,5,IDP,SF,29,8
Quay Walker,6,IDP,LV,25,4
Zack Baun,7,IDP,PHI,29,6
Edgerrin Cooper,8,IDP,GB,24,2
Foyesade Oluokun,9,IDP,JAX,30,8
Nick Bolton,10,IDP,KC,26,5
Sonny Styles,11,IDP,FA,21,R
T.J. Edwards,12,IDP,CHI,29,7
Cedric Gray,13,IDP,TEN,23,2
Jamien Sherwood,14,IDP,NYJ,26,5
Blake Cashman,15,IDP,MIN,29,7
Daiyan Henley,16,IDP,LAC,26,3
Tremaine Edmunds,17,IDP,NYG,27,8
Carson Schwesinger,18,IDP,CLE,23,1
Azeez Al-Shaair,19,IDP,HOU,28,7
Devin Lloyd,20,IDP,CAR,27,4
Payton Wilson,21,IDP,PIT,26,2
Nate Landman,22,IDP,LAR,27,4
Patrick Queen,23,IDP,PIT,26,6
Nakobe Dean,24,IDP,LV,25,4
Terrel Bernard,25,IDP,BUF,26,4
Jihaad Campbell,26,IDP,PHI,22,1
Kyle Hamilton,27,IDP,BAL,25,4
Myles Garrett,28,IDP,CLE,30,9
Jeffery Simmons,29,IDP,TEN,28,7
Will Anderson Jr.,30,IDP,HOU,24,3
Zaire Franklin,31,IDP,GB,29,8
Jalen Carter,32,IDP,PHI,25,3
Aidan Hutchinson,33,IDP,DET,25,4
Caleb Downs,34,IDP,FA,21,R
Micah Parsons,35,IDP,GB,26,5
Kobie Turner,36,IDP,LAR,27,3
Jared Verse,37,IDP,LAR,25,2
Derwin James Jr.,38,IDP,LAC,29,8
Tykee Smith,39,IDP,TB,25,2
Maxx Crosby,40,IDP,LV,28,7
Quinnen Williams,41,IDP,DAL,28,7
Nick Emmanwori,42,IDP,SEA,22,1
Brian Burns,43,IDP,NYG,28,7
Budda Baker,44,IDP,ARI,30,9
Nik Bonitto,45,IDP,DEN,26,4
DeForest Buckner,46,IDP,IND,32,10
Brian Branch,47,IDP,DET,24,3
Nick Bosa,48,IDP,SF,28,7
Byron Murphy II,49,IDP,SEA,23,2
Antoine Winfield Jr,50,IDP,TB,27,6
Jessie Bates III,51,IDP,ATL,29,8
Dallas Turner,52,IDP,MIN,23,2
Kam Curl,53,IDP,LAR,27,6
Abdul Carter,54,IDP,NYG,22,1
Derrick Brown,55,IDP,CAR,28,6
Talanoa Hufanga,56,IDP,DEN,26,5
Josh Hines-Allen,57,IDP,JAX,28,7
Zach Allen,58,IDP,DEN,28,7
Tuli Tuipulotu,59,IDP,LAC,23,3
T.J. Watt,60,IDP,PIT,31,9
Laiatu Latu,61,IDP,IND,25,2
Leonard Williams,62,IDP,SEA,31,11
Danielle Hunter,63,IDP,HOU,31,11
Kamari Lassiter,64,IDP,HOU,23,2
Derrick Harmon,65,IDP,PIT,22,1
Byron Young,66,IDP,LAR,28,3
Jordan Battle,67,IDP,CIN,25,3
Travis Hunter,68,IDP,JAX,22,1
Tre'von Moehrig,69,IDP,CAR,26,5
Zach Sieler,70,IDP,MIA,30,8
Barrett Carter,71,IDP,CIN,23,1
Malaki Starks,72,IDP,BAL,22,1
Demetrius Knight Jr.,73,IDP,CIN,25,1
Andrew Van Ginkel,74,IDP,MIN,30,7
Robert Spillane,75,IDP,NE,30,8
Calijah Kancey,76,IDP,TB,25,3
DeMarvion Overshown,77,IDP,DAL,25,3
Trey Hendrickson,78,IDP,BAL,31,9
Quincy Williams,79,IDP,CLE,29,7
Walter Nolen III,80,IDP,ARI,22,1
Jalon Walker,81,IDP,ATL,22,1
Jaquan Brisker,82,IDP,PIT,27,4
Nick Cross,83,IDP,WAS,24,4
Ed Oliver,84,IDP,BUF,28,7
Danny Stutsman,85,IDP,NO,23,1
David Bailey,86,IDP,FA,22,R
Alex Highsmith,87,IDP,PIT,28,6
Arvell Reese,88,IDP,FA,20,R
Kaden Elliss,89,IDP,NO,30,7
Devin Bush,90,IDP,CHI,27,7
Julian Love,91,IDP,SEA,28,7
Bobby Okereke,92,IDP,TEN,29,7
Chamarri Conner,93,IDP,KC,25,3
CJ Allen,94,IDP,FA,21,R
Cooper DeJean,95,IDP,PHI,23,2
Alex Singleton,96,IDP,DEN,32,11
Jaelan Phillips,97,IDP,CAR,26,5
Jordan Davis,98,IDP,PHI,26,4
Mike Sainristil,99,IDP,WAS,25,2
Frankie Luvu,100,IDP,WAS,29,8
Devon Witherspoon,101,IDP,SEA,25,3
Quentin Lake,102,IDP,LAR,27,4
Tyrel Dodson,103,IDP,MIA,27,7
Jacob Rodriguez,104,IDP,FA,23,R
Josiah Trotter,105,IDP,FA,21,R
SirVocea Dennis,106,IDP,TB,26,3
Kool-Aid McKinstry,107,IDP,NO,23,2
Xavier Watts,108,IDP,ATL,24,1
Lavonte David,109,IDP,FA,36,14
Marlon Humphrey,110,IDP,BAL,29,9
Bobby Wagner,111,IDP,FA,35,14
Eric Rivers,112,IDP,FA,23,R
Jalen Pitre,113,IDP,HOU,26,4
Paulson Adebo,114,IDP,NYG,26,5
Alontae Taylor,115,IDP,TEN,27,4
Christian Gonzalez,116,IDP,NE,23,3
Minkah Fitzpatrick,117,IDP,NYJ,29,8
Jeremy Chinn,118,IDP,LV,28,6
Jarvis Brownlee Jr.,119,IDP,NYJ,24,2
Xavier McKinney,120,IDP,GB,27,6
Kenny Moore II,121,IDP,IND,30,9
Logan Wilson,122,IDP,FA,29,6
Cole Bishop,123,IDP,BUF,23,2
Cody Simon,124,IDP,ARI,24,1
Mike Jackson,125,IDP,CAR,29,7
Leo Chenal,126,IDP,WAS,25,4
Tyler Nubin,127,IDP,NYG,24,2
Jake Golday,128,IDP,FA,22,R
L&apos;Jarius Sneed,129,IDP,FA,29,6
Devin White,130,IDP,FA,28,7
Dillon Thieneman,131,IDP,FA,21,R
Anthony Hill Jr.,132,IDP,FA,21,R
Teddye Buchanan,133,IDP,BAL,23,1
Drake Thomas,134,IDP,SEA,26,3
Jalen Ramsey,135,IDP,PIT,31,10
Riley Moss,136,IDP,DEN,26,3
Demario Davis,137,IDP,NYJ,37,14
Yaya Diaby,138,IDP,TB,26,3
Eric Wilson,139,IDP,MIN,31,9
Nate Wiggins,140,IDP,BAL,22,2
Germaine Pratt,141,IDP,FA,29,7
Rueben Bain Jr.,142,IDP,FA,21,R
Quinyon Mitchell,143,IDP,PHI,24,2
Malachi Moore,144,IDP,NYJ,24,1
Divine Deablo,145,IDP,ATL,27,5
Cashius Howell,146,IDP,FA,23,R
Chop Robinson,147,IDP,MIA,23,2
Tyson Campbell,148,IDP,CLE,26,5
Keeanu Benton,149,IDP,PIT,24,3
Jer'Zhan Newton,150,IDP,WAS,23,2
Nahshon Wright,151,IDP,NYJ,27,5
Trent McDuffie,152,IDP,LAR,25,4
Marcus Jones,153,IDP,NE,27,4
Drue Tranquill,154,IDP,KC,30,7
Trevin Wallace,155,IDP,CAR,23,2
Dax Hill,156,IDP,CIN,25,4
Drew Sanders,157,IDP,DEN,24,3
Taron Johnson,158,IDP,LV,29,8
Braden Fiske,159,IDP,LAR,26,2
Christian Harris,160,IDP,ATL,25,4
Kyler Gordon,161,IDP,CHI,26,4
Jaycee Horn,162,IDP,CAR,26,5
Dre Greenlaw,163,IDP,SF,28,7
Jonathan Greenard,164,IDP,MIN,28,6
Greg Rousseau,165,IDP,BUF,26,5
Byron Murphy Jr.,166,IDP,MIN,28,7
Jalyx Hunt,167,IDP,PHI,25,2
A.J. Terrell Jr.,168,IDP,ATL,27,6
Keisean Nixon,169,IDP,GB,28,7
Jonathon Cooper,170,IDP,DEN,28,5
Montez Sweat,171,IDP,CHI,29,7
Denzel Burke,172,IDP,ARI,23,1
Jahdae Barron,173,IDP,DEN,24,1
Zyon McCollum,174,IDP,TB,26,4
Carlton Davis III,175,IDP,NE,29,8
Harold Landry III,176,IDP,NE,29,8
Dexter Lawrence II,177,IDP,CIN,28,7
Travon Walker,178,IDP,JAX,25,4
Chase Young,179,IDP,NO,27,6
Isaiah Rodgers,180,IDP,MIN,28,6
Asante Samuel Jr,181,IDP,PIT,26,5
Jacob Parrish,182,IDP,TB,22,1
Derrick Barnes,183,IDP,DET,26,5
Mason Graham,184,IDP,CLE,22,1
Cameron Heyward,185,IDP,PIT,36,15
Chris Jones,186,IDP,KC,31,10
Odafe Oweh,187,IDP,WAS,27,5
Kayvon Thibodeaux,188,IDP,NYG,25,4
Milton Williams,189,IDP,NE,27,5
Ivan Pace Jr.,190,IDP,MIN,25,3
Tyrique Stevenson,191,IDP,CHI,25,3
Kyle Louis,192,IDP,FA,22,R
Henry To'oTo'o,193,IDP,HOU,25,3
Patrick Surtain II,194,IDP,DEN,26,5
Cody Barton,195,IDP,TEN,29,7
Pete Werner,196,IDP,NO,27,5
Kris Jenkins Jr.,197,IDP,CIN,24,2
Jalen Redmond,198,IDP,MIN,27,3
Derek Stingley Jr,199,IDP,HOU,24,4
Micah McFadden,200,IDP,NYG,26,4
Jordan Magee,201,IDP,WAS,25,2
Dee Winters,202,IDP,SF,25,3
Matt Milano,203,IDP,FA,31,9
Mike Hughes,204,IDP,ATL,29,8
Nick Martin,205,IDP,SF,23,1
Mike Green,206,IDP,BAL,22,1
George Karlaftis,207,IDP,KC,25,4
Mack Wilson Sr.,208,IDP,ARI,28,7
Tatum Bethune,209,IDP,SF,25,2
D.J. Reed,210,IDP,DET,29,8
Alex Anzalone,211,IDP,TB,31,9
Keyshaun Elliott,212,IDP,FA,22,R
Trenton Simpson,213,IDP,BAL,24,3
Amik Robertson,214,IDP,WAS,27,6
Joey Porter Jr.,215,IDP,PIT,25,3
Kaleb Elarms-Orr,216,IDP,FA,22,R
Deontae Lawson,217,IDP,FA,23,R
Kenneth Murray Jr.,218,IDP,FA,27,6
Christian Rozeboom,219,IDP,TB,29,6
Omar Speights,220,IDP,LAR,25,2
Justin Strnad,221,IDP,DEN,29,6
Taurean York,222,IDP,FA,20,R
Nohl Williams,223,IDP,KC,23,1
Harold Perkins Jr.,224,IDP,FA,21,R
Jimmy Rolder,225,IDP,FA,-,R
Mohamoud Diabate,226,IDP,TEN,24,3
D&apos;Marco Jackson,227,IDP,CHI,27,4
DaRon Bland,228,IDP,DAL,26,4
Bryce Boettcher,229,IDP,FA,23,R
Aiden Fisher,230,IDP,FA,22,R
Deion Jones,231,IDP,FA,31,10
Tyrice Knight,232,IDP,SEA,26,2
Akeem Davis-Gaither,233,IDP,IND,28,6
Red Murdock,234,IDP,FA,22,R
Dru Phillips,235,IDP,NYG,24,2
Justin Jefferson,236,IDP,FA,23,R
Nicholas Morrow,237,IDP,FA,30,9
Jack Kiser,238,IDP,JAX,25,1
JD Bertrand,239,IDP,ATL,25,2
Krys Barnes,240,IDP,FA,28,6
Sauce Gardner,241,IDP,IND,24,4
Junior Colson,242,IDP,LAC,23,2
Brian Asamoah II,243,IDP,FA,26,4
Isaiah McDuffie,244,IDP,GB,26,5
Jack Gibbens,245,IDP,ARI,27,4
Chris Paul Jr.,246,IDP,SEA,23,1
Terrion Arnold,247,IDP,DET,23,2
Kevin Byard III,248,IDP,NE,32,10
Channing Tindall,249,IDP,ATL,26,4
Tommy Eichenberg,250,IDP,LV,25,2
Deommodore Lenoir,251,IDP,SF,26,5
Ty'Ron Hopper,252,IDP,GB,25,2
Malik Harrison,253,IDP,PIT,28,6
Nathaniel Watson,254,IDP,CLE,25,2
Dennis Gardeck,255,IDP,JAX,31,8
Denzel Perryman,256,IDP,LAC,33,11
Jakorian Bennett,257,IDP,PHI,25,3
Edefuan Ulofoshio,258,IDP,CLE,26,2
Cole Holcomb,259,IDP,PIT,29,7
Darius Muasau,260,IDP,NYG,25,2
Jeremiah Trotter Jr.,261,IDP,PHI,23,2
Ventrell Miller,262,IDP,JAX,27,3
Emmanuel McNeil-Warren,263,IDP,FA,22,R
Jaire Alexander,264,IDP,FA,29,8
Oren Burks,265,IDP,CIN,31,8
Jaylan Ford,266,IDP,NO,24,2
Chris Braswell,267,IDP,TB,24,2
Eric Kendricks,268,IDP,FA,34,11
Jalen Thompson,269,IDP,DAL,27,7
Marist Liufau,270,IDP,DAL,25,2
Troy Andersen,271,IDP,ATL,27,4
E.J. Speed,272,IDP,HOU,30,7
Dee Alford,273,IDP,BUF,28,4
Nnamdi Madubuike,274,IDP,BAL,28,6
Josh Sweat,275,IDP,ARI,29,8
Ennis Rakestraw Jr.,276,IDP,DET,23,2
Austin Booker,277,IDP,CHI,23,2
Bryan Bresee,278,IDP,NO,24,3
B.J. Hill,279,IDP,CIN,31,8
Boye Mafe,280,IDP,CIN,27,4
Will McDonald IV,281,IDP,NYJ,26,3
James Pearce Jr.,282,IDP,ATL,22,1
Darius Robinson,283,IDP,ARI,24,2
Mansoor Delane,284,IDP,FA,22,R
