Rank,Avg,Pos,Name,Team,Age,FrankG,Jason K,Justin T,Value,Follow
106,108.33,DE (DL55),James Pearce Jr,ATL,22,106,129,90,,
107,109.33,DE (DL56),Donovan Ezeiruaku,DAL,22,107,70,-,,
108,110.00,DE (DL57),Chase Young,NO,26,108,71,-,,
109,112.00,DE (DL58),Jalyx Hunt,PHI,-,109,76,-,,
110,113.33,DT (DL59),Walter Nolen,ARI,22,110,79,-,,
111,114.00,LB39,Drake Thomas,SEA,26,111,80,-,,
112,114.67,LB40,Divine Deablo,ATL,27,112,81,-,,
113,115.33,WR1,Travis Hunter,JAC,22,113,82,-,,
114,116.00,S (DB14),Julian Love,SEA,27,114,114,120,,
115,117.00,DT (DL60),Zach Sieler,MIA,-,115,133,103,,
116,117.33,S (DB15),Quentin Lake,LAR,27,116,85,-,,
117,118.00,S (DB16),Malaki Starks,BAL,22,117,123,114,,
118,118.67,LB41,Logan Wilson,FA,29,118,-,87,,
119,119.00,S (DB17),Jalen Pitre,HOU,26,119,87,-,,
120,119.67,LB42,Junior Colson,LAC,23,120,-,88,,
121,120.33,LB43,Tyrice Knight,SEA,25,121,-,89,,
122,121.00,LB44,Demetrius Knight Jr,CIN,26,122,90,-,,
123,121.67,DE (DL61),Carl Granderson,NO,-,123,-,91,,
124,122.00,S (DB18),Kamren Curl,LAR,26,124,92,150,,
125,122.33,LB45,Danny Stutsman,NO,22,125,91,-,,
126,123.00,DT (DL62),Chris Jones,KC,31,126,-,92,,
127,124.00,LB46,Leo Chenal,KC,25,127,94,-,,
128,124.00,LB47,SirVocea Dennis,TB,25,128,125,119,,
129,125.33,LB48,Alex Singleton,DEN,32,129,130,117,,
130,125.33,DT (DL63),Derrick Harmon,PIT,-,130,106,140,,
131,126.00,DE (DL64),Boye Mafe,SEA,27,131,-,96,,
132,127.33,DT (DL65),Milton Williams,NE,-,132,99,-,,
133,128.67,S (DB19),Kyle Dugger,PIT,29,133,-,102,,
134,129.67,S (DB20),Jaquan Brisker,CHI,26,134,-,104,,
135,130.33,DE (DL66),Bradley Chubb,FA,29,135,145,111,,
136,131.00,DT (DL67),Jonathan Allen,MIN,31,136,-,106,,
137,131.33,LB49,Germaine Pratt,IND,29,137,148,109,,
138,132.00,DE (DL68),Uchenna Nwosu,SEA,29,138,-,107,,
139,133.00,LB50,Ivan Pace Jr,MIN,25,140,-,108,,
140,134.00,LB51,Devin White,LV,28,139,112,-,,
141,134.33,LB52,Barrett Carter,CIN,23,141,111,-,,
142,135.00,LB53,Jaylon Carlies,IND,24,142,-,112,,
143,135.67,S (DB21),Talanoa Hufanga,DEN,26,143,113,-,,
144,136.67,S (DB22),Xavier Watts,ATL,24,144,115,-,,
145,137.33,S (DB23),DeShon Elliott,PIT,28,145,-,116,,
146,137.33,DE (DL69),Josh Sweat,ARI,28,146,138,128,,
147,138.33,DL70,Gervon Dexter,CHI,24,147,117,-,,
148,139.00,S (DB24),Josh Metellus,MIN,-,148,-,118,,
149,140.00,LB54,Tatum Bethune,SF,25,149,120,-,,
150,141.00,S (DB25),Brandon Jones,DEN,27,150,-,122,,
151,141.33,S (DB26),Cole Bishop,BUF,-,-,122,-,,
152,141.67,LB55,Drue Tranquill,KC,30,-,-,123,,
153,142.00,S (DB27),Jeremy Chinn,LV,28,-,-,124,,
154,142.00,LB56,Cody Simon,ARI,-,-,124,-,,
155,142.33,DE (DL71),Odafe Oweh,LAC,27,-,141,135,,
156,142.67,DE (DL72),Kwity Paye,IND,27,-,-,126,,
157,142.67,LB57,Jordan Magee,WAS,24,-,126,-,,
158,143.00,S (DB28),Kerby Joseph,DET,-,-,-,127,,
159,143.00,LB58,Omar Speights,LAR,25,-,127,-,,
160,143.33,LB59,Isaiah McDuffie,GB,-,-,128,-,,
161,143.67,DE (DL73),Lukas Van Ness,GB,24,-,-,129,,
162,144.00,LB60,Pete Werner,NO,26,-,-,130,,
163,144.33,DE (DL74),Nic Scourton,CAR,21,-,131,-,,
164,145.33,DE (DL75),Malcolm Koonce,LV,-,-,-,134,,
165,145.67,LB61,Kiko Mauigoa,NYJ,22,-,135,-,,
166,146.00,LB62,Kenneth Murray,DAL,27,-,-,136,,
167,146.00,S (DB29),Jordan Battle,CIN,25,-,136,-,,
168,146.33,DE (DL76),Harold Landry,FA,29,-,144,144,,
169,146.33,LB63,Jack Sanborn,DAL,25,-,-,137,,
170,146.67,S (DB30),Jevon Holland,NYG,26,-,-,138,,
171,147.00,S (DB31),Tre'von Moehrig,CAR,-,-,139,-,,
172,147.00,DT (DL77),Bryan Bresee,NO,24,-,-,139,,
