name,value
Tyson Bagent,206
Cole Kmet,203
Cooper Kupp,201
Jaylin Lane,199
Jahan Dotson,199
Devaughn Vele,193
Rashod Bateman,190
Dillon Gabriel,187
Marquise Brown,184
Tyquan Thornton,184
Luke McCaffrey,183
Darnell Washington,176
Jarquez Hunter,173
Kendre Miller,160
Joe Mixon,160
Joe Milton,158
Quinn Ewers,146
Jalen Royals,135
Tahj Brooks,130
Gardner Minshew,128
Davis Mills,122
KeAndre Lambert-Smith,110
Ja'Lynn Polk,87
Kenny McIntosh,55
Audric Estime,44
Treylon Burks,42
Raheim Sanders,39
Keenan Allen,39
Efton Chism,35
Ryan Flournoy,34
Tutu Atwell,23
Isaiah Davis,19
Daniel Bellinger,17
Andrei Iosivas,15
Spencer Rattler,9
Tanner McKee,4
Will Levis,3
Darren Waller,3
Isaac Guerendo,3
George Holani,2
John Metchie,2
Calvin Austin,2
