name,value
Jordyn Tyson,3656
Josh Allen,10583
Josh Cameron,719
Josh Cuevas,416
Josh Downs,1672
Josh Jacobs,3125
Justice Hill,151
Justin Fields,1415
Justin Herbert,5918
Justin Jefferson,7375
Juwan Johnson,1121
Kaleb Johnson,1266
Kareem Hunt,181
KaVontae Turpin,63
Kayshon Boutte,1064
KC Concepcion,2651
KeAndre Lambert-Smith,73
Keaton Mitchell,1202
Keenan Allen,392
Kendre Miller,288
Kendrick Bourne,95
Kenneth Gainwell,1510
Kenneth Walker,4410
Kenny McIntosh,127
Kenny Pickett,128
Kenyon Sadiq,3259
Keon Coleman,1185
Kevin Coleman,581
Khalil Shakir,1461
Kimani Vidal,759
Kirk Cousins,406
Kyle Monangai,1777
Kyle Pitts,2862
Kyle Williams,1145
Kyler Murray,3036
Kyren Williams,3308
Ladd McConkey,3869
Lake McRee,88
Lamar Jackson,7603
Le'Veon Moss,1112
LeQuint Allen,541
Luke Altmyer,183
Luke McCaffrey,121
Luke Musgrave,167
Luther Burden,3495
Mac Jones,1331
Mack Hollins,108
Makai Lemon,4624
Malachi Fields,1360
Malik Benson,389
Malik Nabers,7334
Malik Washington,1057
Malik Willis,2600
Marcus Mariota,439
Mark Andrews,1490
Mark Fletcher,363
Marlin Klein,844
Marquise Brown,479
MarShawn Lloyd,253
Marvin Harrison,3545
Marvin Mims,590
Mason Taylor,1526
Matthew Golden,2027
Matthew Stafford,2508
Max Klare,1378
Michael Mayer,690
Michael Penix,1879
Michael Pittman,2043
Michael Wilson,2243
Mike Evans,2120
Mike Gesicki,192
Mike Washington,1836
Miller Moss,183
Najee Harris,692
Nate Boerkircher,111
Nathan Carter,37
Nicholas Singleton,1871
Nick Westbrook-Ikhine,31
Nico Collins,4555
Noah Fant,76
Noah Gray,177
Noah Thomas,818
Olamide Zaccheaus,74
Ollie Gordon,911
Omar Cooper,2126
Omarion Hampton,5820
Oronde Gadsden,2332
Oscar Delp,924
Parker Washington,1902
Pat Bryant,1237
Pat Freiermuth,763
Patrick Mahomes,5867
Phil Mafah,58
Puka Nacua,9036
Quentin Johnston,1808
Quinn Ewers,493
Quinshon Judkins,3723
Rachaad White,1418
Rahsul Faison,331
Rashee Rice,3531
Rasheen Ali,3
Rashid Shaheed,1333
Rashod Bateman,333
Ray Davis,469
Reggie Virgil,350
Rhamondre Stevenson,1551
Ricky Pearsall,1923
Rico Dowdle,1820
Riley Leonard,539
RJ Harvey,2386
Roman Wilson,146
Rome Odunze,3706
Romeo Doubs,1921
Ryan Flournoy,236
Sam Darnold,3119
Sam LaPorta,3248
Sam Roush,633
Samaje Perine,26
Saquon Barkley,3771
Savion Williams,128
Sean Tucker,789
Shedeur Sanders,1729
Spencer Rattler,231
Stefon Diggs,952
T.J. Hockenson,1533
Tahj Brooks,219
Tai Felton,67
Tank Bigsby,1225
Tank Dell,1056
Tanner McKee,95
Taylen Green,1161
Ted Hurst,1198
Tee Higgins,3343
Terrance Ferguson,1319
Terry McLaurin,2137
Tetairoa McMillan,5152
Tez Johnson,766
Theo Johnson,1089
Tony Pollard,1434
Tory Horton,1163
Travis Etienne,3147
Travis Hunter,2245
Travis Kelce,1598
Tre Tucker,695
Tre' Harris,1474
Trebor Pena,429
TreVeyon Henderson,3986
Trevor Etienne,356
Trevor Lawrence,4854
Trey Benson,1419
Trey Lance,207
Trey McBride,7092
Treylon Burks,22
Troy Franklin,1383
Tua Tagovailoa,1763
Tucker Kraft,3325
Tutu Atwell,93
Ty Simpson,2216
Tyjae Spears,1183
Tyler Allgeier,1838
Tyler Higbee,147
Tyler Huntley,151
Tyler Shough,3134
Tyler Warren,4459
Tyquan Thornton,163
Tyreek Hill,1471
Tyrone Tracy,1131
Tyson Bagent,174
Wan'Dale Robinson,2198
Will Howard,575
Will Levis,139
Will Shipley,84
Woody Marks,1343
Xavier Hutchinson,92
Xavier Legette,486
Xavier Worthy,1781
Zach Charbonnet,2131
Zach Ertz,278
Zach Wilson,23
Zachariah Branch,1614
Zay Flowers,3304
