name,value
Geno Smith,6814
George Kittle,7976
George Pickens,9232
Gunnar Helm,4054
Harold Fannin,7299
Hunter Henry,4766
Isaac Guerendo,3072
Isaac TeSlaa,4858
Isaiah Bond,3635
Isaiah Davis,3997
Isaiah Likely,6613
Isiah Pacheco,7027
Ja'Marr Chase,9894
Ja'Tavion Sanders,4321
Jack Bech,5309
Jacory Croskey-Merritt,6556
Jahmyr Gibbs,9797
Jake Ferguson,7011
Jakobi Meyers,7119
Jalen Coker,5665
Jalen Hurts,9818
Jalen McMillan,3915
Jalen Milroe,5467
Jalen Royals,4070
Jalen Tolbert,2932
Jameis Winston,3032
James Conner,5926
James Cook,9058
Jameson Williams,8079
Jared Goff,8767
Jarquez Hunter,3330
Jauan Jennings,7081
Javonte Williams,7752
Jaxon Smith-Njigba,9873
Jaxson Dart,9461
Jayden Daniels,9843
Jayden Higgins,7241
Jayden Reed,7827
Jaydon Blue,4329
Jaylen Waddle,8697
Jaylen Warren,7283
Jaylen Wright,5753
Jaylin Lane,2786
Jaylin Noel,5229
Jerome Ford,4236
Jerry Jeudy,6786
JJ McCarthy,7681
JK Dobbins,6924
Joe Burrow,9809
Joe Flacco,3940
Joe Mixon,6005
Jonathan Taylor,9369
Jonathon Brooks,4851
Jonnu Smith,5046
Jordan Addison,8426
Jordan James,3130
Jordan Love,9417
Jordan Mason,5981
Jordan Whittington,3440
Josh Allen,9999
Josh Downs,7620
Josh Jacobs,8562
Josh Palmer,3485
Justin Fields,5944
Justin Herbert,9647
Justin Jefferson,9728
Juwan Johnson,6303
Kaleb Johnson,6814
Kareem Hunt,3412
Kayshon Boutte,5296
KeAndre Lambert-Smith,2911
Keaton Mitchell,3773
Keenan Allen,4540
Kendre Miller,5012
Kendrick Bourne,3626
Kenneth Gainwell,5176
Kenneth Walker,8679
Kenny Pickett,2690
Keon Coleman,7172
Khalil Shakir,5570
Kimani Vidal,4525
Kirk Cousins,4865
Kyle Monangai,6522
Kyle Pitts,8035
Kyle Williams,4949
Kyler Murray,8623
Kyren Williams,8794
Ladd McConkey,9192
Lamar Jackson,9953
LeQuint Allen,2646
Luke McCaffrey,2942
Luke Musgrave,3547
Luther Burden,8138
Mac Jones,2668
Malik Nabers,9720
Malik Washington,2744
Malik Willis,6090
Mark Andrews,8030
Marquise Brown,5094
MarShawn Lloyd,4118
Marvin Harrison,8990
Marvin Mims,5342
Mason Taylor,5828
Matthew Golden,7747
Matthew Stafford,7569
Michael Carter,2839
Michael Mayer,3865
Michael Penix,7772
Michael Pittman,7922
Michael Wilson,6203
Mike Evans,7523
Mike Gesicki,2786
Najee Harris,3931
Nick Chubb,4886
Nico Collins,9478
Noah Fant,3302
Ollie Gordon,4173
Omarion Hampton,9232
Oronde Gadsden,7502
Parker Washington,6579
Pat Bryant,5395
Pat Freiermuth,4665
Patrick Mahomes,9656
Puka Nacua,9864
Quentin Johnston,7060
Quinn Ewers,2797
Quinshon Judkins,8886
Rachaad White,6090
Rashee Rice,8945
Rashid Shaheed,6023
Rashod Bateman,5196
Ray Davis,5614
Rhamondre Stevenson,7252
Ricky Pearsall,7518
Rico Dowdle,6886
RJ Harvey,8186
Roman Wilson,2807
Rome Odunze,9017
Romeo Doubs,6197
Roschon Johnson,4046
Russell Wilson,5060
Sam Darnold,8191
Sam LaPorta,8817
Saquon Barkley,8922
Savion Williams,3547
Sean Tucker,4220
Shedeur Sanders,5821
Spencer Rattler,4823
Stefon Diggs,7103
Tahj Brooks,2880
Tank Bigsby,5415
Tank Dell,6125
Teagan Quitoriano,2602
Tee Higgins,8790
Terrance Ferguson,5243
Terry McLaurin,8104
Tetairoa McMillan,9290
Tez Johnson,3790
Theo Johnson,5460
TJ Hockenson,7676
Tony Pollard,6658
Tory Horton,5684
Travis Etienne,8215
Travis Hunter,8167
Travis Kelce,7466
Tre Harris,6338
Tre Tucker,5401
TreVeyon Henderson,8702
Trevor Etienne,3357
Trevor Lawrence,9526
Trey Benson,7857
Trey McBride,9595
Troy Franklin,5289
Tua Tagovailoa,7178
Tucker Kraft,8762
Tyjae Spears,6792
Tyler Allgeier,6309
Tyler Johnson,2701
Tyler Shough,7310
Tyler Warren,8904
Tyquan Thornton,3101
Tyreek Hill,7017
Tyrone Tracy,6528
Wan'Dale Robinson,6476
Will Shipley,3882
Woody Marks,6709
Xavier Legette,5296
Xavier Worthy,7767
Zach Charbonnet,7549
Zach Ertz,3022
Zay Flowers,8482
