name,value
Josh Cameron,700
Josh Cuevas,384
Josh Downs,1665
Josh Jacobs,3177
Joshua Palmer,75
Justice Hill,145
Justin Fields,1417
Justin Herbert,5932
Justin Jefferson,7250
Justin Joly,341
Juwan Johnson,1142
Kaleb Johnson,1286
Kareem Hunt,134
KaVontae Turpin,52
Kayshon Boutte,1034
Kaytron Allen,556
KC Concepcion,2712
KeAndre Lambert-Smith,117
Keaton Mitchell,1208
Keenan Allen,287
Kendre Miller,271
Kendrick Bourne,104
Kenneth Gainwell,1494
Kenneth Walker,4307
Kenny McIntosh,192
Kenyon Sadiq,3251
Keon Coleman,1337
Kevin Coleman,549
Khalil Shakir,1475
Kimani Vidal,733
Kirk Cousins,552
Kyle Monangai,1760
Kyle Pitts,2919
Kyle Williams,1156
Kyler Murray,3074
Kyren Williams,3349
Ladd McConkey,4120
Lamar Jackson,7540
Le'Veon Moss,1118
LeQuint Allen,478
Luke McCaffrey,166
Luke Musgrave,151
Luther Burden,3642
Mac Jones,1375
Mack Hollins,103
Makai Lemon,4545
Malachi Fields,1347
Malik Benson,360
Malik Nabers,7454
Malik Washington,1074
Malik Willis,2594
Marcus Mariota,387
Mark Andrews,1487
Mark Fletcher,276
Marlin Klein,839
Marquise Brown,418
MarShawn Lloyd,235
Marvin Harrison,3496
Marvin Mims,472
Mason Taylor,1555
Mason Tipton,1
Matthew Golden,2036
Matthew Stafford,2433
Max Klare,1380
Michael Carter,142
Michael Mayer,721
Michael Penix,1839
Michael Pittman,2005
Michael Trigg,380
Michael Wilson,2179
Mike Evans,1966
Mike Gesicki,136
Mike Washington,1831
Najee Harris,731
Nicholas Singleton,1881
Nick Chubb,76
Nick Westbrook-Ikhine,12
Nico Collins,4475
Noah Fant,86
Noah Gray,160
Noah Thomas,801
Olamide Zaccheaus,62
Ollie Gordon,841
Omar Cooper,2140
Omarion Hampton,5958
Oronde Gadsden,2324
Oscar Delp,913
Parker Washington,1929
Pat Bryant,1351
Pat Freiermuth,836
Patrick Mahomes,5809
Phil Mafah,39
Puka Nacua,8869
Quentin Johnston,1773
Quinn Ewers,518
Quinshon Judkins,3669
Rachaad White,1408
Rahsul Faison,279
Rashee Rice,3531
Rashid Shaheed,1328
Rashod Bateman,304
Ray Davis,415
Reggie Virgil,286
Rhamondre Stevenson,1544
Ricky Pearsall,1920
Rico Dowdle,1850
Riley Leonard,533
RJ Harvey,2303
Roman Wilson,110
Rome Odunze,3800
Romeo Doubs,1916
Roschon Johnson,21
Ryan Flournoy,309
Sam Darnold,3110
Sam LaPorta,3186
Sam Roush,612
Saquon Barkley,3823
Savion Williams,66
Sean Tucker,807
Shedeur Sanders,1782
Skyler Bell,609
Spencer Rattler,183
Stefon Diggs,849
T.J. Hockenson,1505
Tahj Brooks,193
Tai Felton,51
Tank Bigsby,1167
Tank Dell,1134
Tanner McKee,110
Taylen Green,1136
Ted Hurst,1197
Teddy Bridgewater,58
Tee Higgins,3341
Terrance Ferguson,1408
Terry McLaurin,2115
Tetairoa McMillan,5203
Tez Johnson,727
Theo Johnson,983
Tony Pollard,1408
Tory Horton,1057
Travis Etienne,3130
Travis Hunter,2228
Travis Kelce,1593
Tre Tucker,853
Tre' Harris,1517
Trebor Pena,405
TreVeyon Henderson,3876
Trevor Etienne,402
Trevor Lawrence,4983
Trey Benson,1419
Trey Lance,146
Trey McBride,7204
Treylon Burks,94
Troy Franklin,1375
Tua Tagovailoa,1782
Tucker Kraft,3314
Tutu Atwell,97
Ty Simpson,2213
Tyjae Spears,1067
Tyler Allgeier,1873
Tyler Higbee,118
Tyler Huntley,104
Tyler Shough,3126
Tyler Warren,4508
Tyquan Thornton,122
Tyreek Hill,1476
Tyrone Tracy,1097
Tyson Bagent,121
Wan'Dale Robinson,2246
Will Howard,531
Will Levis,169
Will Shipley,51
Woody Marks,1374
Xavier Hutchinson,56
Xavier Legette,547
Xavier Worthy,1836
Zach Charbonnet,2115
Zach Ertz,327
Zach Wilson,83
Zachariah Branch,1665
Zay Flowers,3334
Zonovan Knight,88
