name,Rank
Kendre Miller,269.4
Mike Gesicki,269.63
Xavier Restrepo,270.0
Devaughn Vele,270.0
Roman Wilson,272.0
Kareem Hunt,272.0
Isaiah Bond,272.2
Jerome Ford,272.33
Treylon Burks,273.0
Gardner Minshew,273.0
Jordan Whittington,274.0
Russell Wilson,274.25
Luke Musgrave,274.33
Noah Gray,274.75
Nick Chubb,275.14
Cole Kmet,275.63
Ryan Flournoy,276.5
Raheim Sanders,277.0
Curtis Samuel,277.0
Joshua Palmer,278.43
Jake Tonges,279.0
Jahan Dotson,279.5
Roschon Johnson,280.33
Jake Browning,281.0
Tai Felton,281.5
MarShawn Lloyd,281.67
Jalen Royals,282.17
Audric Estime,282.5
Adam Thielen,282.5
Amari Cooper,282.5
Darren Waller,282.8
Jalen Tolbert,283.0
Erick All,283.0
Spencer Rattler,284.5
Aidan O'Connell,286.0
Darnell Washington,286.86
Jameis Winston,288.43
Dyami Brown,288.67
Tyler Lockett,291.0
Justice Hill,292.5
LeQuint Allen,292.5
DeAndre Hopkins,292.67
Will Levis,292.67
Will Howard,292.75
Malachi Corley,293.0
Noah Brown,293.0
Dawson Knox,293.8
John Metchie,294.25
Daniel Bellinger,294.5
Miles Sanders,295.0
Damien Martinez,295.33
Jalin Hyatt,296.0
Joe Milton,296.75
Derek Carr,297.0
Jimmy Horn Jr.,298.0
Devin Singletary,299.67
Austin Ekeler,299.8
Javon Baker,302.0
Will Shipley,303.8
Dameon Pierce,304.0
Raheem Mostert,304.0
Noah Fant,304.5
Calvin Austin,306.0
Sam Howell,306.0
Darius Slayton,306.17
Jaylin Lane,307.25
Phil Mafah,308.0
Kalel Mullings,309.0
Jonathan Mingo,309.0
Antonio Gibson,309.0
Jaleel McLaughlin,309.0
Quinn Ewers,309.67
Nick Westbrook-Ikhine,310.0
Samaje Perine,310.75
Tyquan Thornton,312.0
Brandin Cooks,312.0
Zonovan Knight,315.33
Tutu Atwell,316.0
Luke McCaffrey,316.0
Luke Schoonmaker,316.67
Deuce Vaughn,318.5
Jared Wiley,320.0
Jermaine Burton,322.0
Arian Smith,322.0
Emari Demercado,323.0
LaJohntay Wester,323.0
Tyler Higbee,324.0
KeAndre Lambert-Smith,324.33
Will Dissly,325.0
Tahj Washington,327.0
Marcus Mariota,327.5
Kendrick Bourne,329.67
Tyler Conklin,330.0
Jaheim Bell,333.0
Davis Mills,335.0
Jeremy McNichols,336.0
Michael Carter,336.5
Xavier Hutchinson,336.67
Brevin Jordan,337.0
Greg Dortch,337.0
Zack Moss,339.0
Zay Jones,341.0
AJ Dillon,344.0
Rasheen Ali,345.0
Jacob Cowing,346.0
Khalil Herbert,347.0
Demarcus Robinson,348.0
Chris Manhertz,351.0
Kenny Pickett,352.0
Ty Johnson,352.0
Alexander Mattison,353.0
JuJu Smith-Schuster,353.0
Odell Beckham,354.0
Mike Williams,355.0
Rondale Moore,357.0
