canonicalName,sourceName,position,team,rank,total_ranked,projection
jamel dean,Jamel Dean,CB69,,372,419,
evan williams,Evan Williams,S52,,373,419,
jadeveon clowney,Jadeveon Clowney,DE78,,374,419,
akheem mesidor,Akheem Mesidor,DE79,,375,419,
osa odighizuwa,Osa Odighizuwa,DT53,,376,419,
grover stewart,Grover Stewart,DT54,,377,419,
tyree wilson,Tyree Wilson,DE80,,378,419,
justin reid,Justin Reid,S53,,379,419,
ennis rakestraw,Ennis Rakestraw Jr.,CB70,,380,419,
trey amos,Trey Amos,CB71,,381,419,
jiayir brown,Ji'Ayir Brown,S54,,382,419,
geno stone,Geno Stone,S55,,383,419,
kerby joseph,Kerby Joseph,S56,,384,419,
isaiah pola mao,Isaiah Pola-Mao,S57,,385,419,
shavon revel,Shavon Revel Jr.,CB72,,386,419,
logan hall,Logan Hall,DT55,,387,419,
malcolm koonce,Malcolm Koonce,DE81,,388,419,
derrick moore,Derrick Moore,DE82,,389,419,
sheldon rankins,Sheldon Rankins,DT56,,390,419,
jt tuimoloau,JT Tuimoloau,DE83,,391,419,
sam williams,Sam Williams,DE84,,392,419,
dane belton,Dane Belton,S58,,393,419,
calen bullock,Calen Bullock,S59,,394,419,
jaylinn hawkins,Jaylinn Hawkins,S60,,395,419,
bobby brown,Bobby Brown III,DT57,,396,419,
adam butler,Adam Butler,DT58,,397,419,
christian elliss,Christian Elliss,DE85,,398,419,
grady jarrett,Grady Jarrett,DT59,,399,419,
dj jones,D.J. Jones,DT60,,400,419,
jack sawyer,Jack Sawyer,DE86,,401,419,
darrell taylor,Darrell Taylor,DE87,,402,419,
alex wright,Alex Wright,DE88,,403,419,
ej speed,E.J. Speed,LB124,,404,419,
bud clark,Bud Clark,S61,,405,419,
renardo green,Renardo Green,CB73,,406,419,
bryan cook,Bryan Cook,S62,,407,419,
keith abney,Keith Abney II,S63,,408,419,
derick hall,Derick Hall,DE89,,409,419,
aj epenesa,A.J. Epenesa,DE90,,410,419,
davon hamilton,DaVon Hamilton,DT61,,411,419,
isaiah mcguire,Isaiah McGuire,DE91,,412,419,
omarr norman lott,Omarr Norman-Lott,DT62,,413,419,
kyle van noy,Kyle Van Noy,DE92,,414,419,
deatrich wise,Deatrich Wise Jr,DE93,,415,419,
josh jobe,Josh Jobe,CB74,,416,419,
antonio johnson,Antonio Johnson,S64,,417,419,
jaylon johnson,Jaylon Johnson,CB75,,418,419,
xavier woods,Xavier Woods,S65,,419,419,
