canonicalName,sourceName,position,team,rank,total_ranked,projection
jahmyr gibbs,Jahmyr Gibbs,RB,DET,1,396,
bijan robinson,Bijan Robinson,RB,ATL,2,396,
jonathan taylor,Jonathan Taylor,RB,IND,3,396,
kenneth walker,Kenneth Walker III,RB,KC,4,396,
james cook,James Cook III,RB,BUF,5,396,
derrick henry,Derrick Henry,RB,BAL,6,396,
christian mccaffrey,Christian McCaffrey,RB,SF,7,396,
chase brown,Chase Brown,RB,CIN,8,396,
ashton jeanty,Ashton Jeanty,RB,LV,9,396,
saquon barkley,Saquon Barkley,RB,PHI,10,396,
jamarr chase,Ja'Marr Chase,WR,CIN,11,396,
omarion hampton,Omarion Hampton,RB,LAC,12,396,
jaxon smith njigba,Jaxon Smith-Njigba,WR,SEA,13,396,
javonte williams,Javonte Williams,RB,DAL,14,396,
dandre swift,D'Andre Swift,RB,CHI,15,396,
devon achane,De'Von Achane,RB,MIA,16,396,
amon ra st brown,Amon-Ra St. Brown,WR,DET,17,396,
kyren williams,Kyren Williams,RB,LAR,18,396,
puka nacua,Puka Nacua,WR,LAR,19,396,
ceedee lamb,CeeDee Lamb,WR,DAL,20,396,
justin jefferson,Justin Jefferson,WR,MIN,21,396,
breece hall,Breece Hall,RB,NYJ,22,396,
josh allen,Josh Allen,QB,BUF,23,396,
george pickens,George Pickens,WR,DAL,24,396,
chris olave,Chris Olave,WR,NO,25,396,
bucky irving,Bucky Irving,RB,TB,26,396,
jeremiyah love,Jeremiyah Love,RB,ARI,27,396,
lamar jackson,Lamar Jackson,QB,BAL,28,396,
david montgomery,David Montgomery,RB,HOU,29,396,
nico collins,Nico Collins,WR,HOU,30,396,
zay flowers,Zay Flowers,WR,BAL,31,396,
bhayshul tuten,Bhayshul Tuten,RB,JAC,32,396,
jalen hurts,Jalen Hurts,QB,PHI,33,396,
cam skattebo,Cam Skattebo,RB,NYG,34,396,
devonta smith,DeVonta Smith,WR,PHI,35,396,
malik nabers,Malik Nabers,WR,NYG,36,396,
christian watson,Christian Watson,WR,GB,37,396,
drake london,Drake London,WR,ATL,38,396,
travis etienne,Travis Etienne Jr.,RB,NO,39,396,
jaylen waddle,Jaylen Waddle,WR,DEN,40,396,
parker washington,Parker Washington,WR,JAC,41,396,
tee higgins,Tee Higgins,WR,CIN,42,396,
emeka egbuka,Emeka Egbuka,WR,TB,43,396,
