canonicalName,sourceName,position,team,rank,total_ranked,projection
jerry jeudy,Jerry Jeudy,WR,CLE,187,230,
tyler allgeier,Tyler Allgeier,RB,ARI,188,230,
cam little,Cam Little,PK,JAX,189,230,
jalen mcmillan,Jalen McMillan,WR,TB,190,230,
rashod bateman,Rashod Bateman,WR,BAL,191,230,
brandon aiyuk,Brandon Aiyuk,WR,SF,193,230,
chase mclaughlin,Chase McLaughlin,PK,TB,194,230,
tyler loop,Tyler Loop,PK,BAL,195,230,
eddy pineiro,Eddy Piñeiro,PK,SF,196,230,
nick folk,Nick Folk,PK,ATL,198,230,
travis hunter,Travis Hunter,WR,JAX,199,230,
cairo santos,Cairo Santos,PK,CHI,200,230,
alvin kamara,Alvin Kamara,RB,NO,201,230,
ryan flournoy,Ryan Flournoy,WR,DAL,202,230,
will reichard,Will Reichard,PK,MIN,203,230,
jalen nailor,Jalen Nailor,WR,LV,204,230,
keaton mitchell,Keaton Mitchell,RB,LAC,206,230,
evan mcpherson,Evan McPherson,PK,CIN,207,230,
woody marks,Woody Marks,RB,HOU,208,230,
blake grupe,Blake Grupe,PK,IND,209,230,
isaac teslaa,Isaac TeSlaa,WR,DET,210,230,
harrison butker,Harrison Butker,PK,KC,211,230,
tyler bass,Tyler Bass,PK,BUF,212,230,
omar cooper,Omar Cooper Jr.,WR,NYJ,213,230,
jauan jennings,Jauan Jennings,WR,MIN,214,230,
denzel boston,Denzel Boston,WR,CLE,216,230,
antonio williams,Antonio Williams,WR,WAS,217,230,
tank dell,Tank Dell,WR,HOU,218,230,
tyrone tracy,Tyrone Tracy Jr.,RB,NYG,219,230,
cooper kupp,Cooper Kupp,WR,SEA,220,230,
chris rodriguez,Chris Rodriguez Jr.,RB,JAX,221,230,
wil lutz,Wil Lutz,PK,DEN,222,230,
dalton schultz,Dalton Schultz,TE,HOU,223,230,
adonai mitchell,Adonai Mitchell,WR,NYJ,224,230,
germie bernard,Germie Bernard,WR,PIT,225,230,
malik washington,Malik Washington,WR,MIA,226,230,
kaytron allen,Kaytron Allen,RB,WAS,227,230,
kayshon boutte,Kayshon Boutte,WR,NE,228,230,
tank bigsby,Tank Bigsby,RB,PHI,229,230,
marshawn lloyd,MarShawn Lloyd,RB,GB,230,230,
