canonicalName,sourceName,position,team,rank,total_ranked,projection
geno smith,Geno Smith,QB,,131,250,
brandon aubrey,Brandon Aubrey,K,,132,250,
travis kelce,Travis Kelce,TE,,133,250,
jaylen warren,Jaylen Warren,RB,,134,250,
alec pierce,Alec Pierce,WR,,135,250,
juwan johnson,Juwan Johnson,TE,,136,250,
wandale robinson,Wan'Dale Robinson,WR,,137,250,
jalen mcmillan,Jalen McMillan,WR,,138,250,
tony pollard,Tony Pollard,RB,,139,250,
jk dobbins,J.K. Dobbins,RB,,141,250,
rashod bateman,Rashod Bateman,WR,,142,250,
khalil shakir,Khalil Shakir,WR,,143,250,
jameis winston,Jameis Winston,QB,,144,250,
caleb douglas,Caleb Douglas,WR,,145,250,
kayshon boutte,Kayshon Boutte,WR,,146,250,
cameron dicker,Cameron Dicker,K,,147,250,
keenan allen,Keenan Allen,WR,,148,250,
rico dowdle,Rico Dowdle,RB,,149,250,
braelon allen,Braelon Allen,RB,,150,250,
malachi fields,Malachi Fields,WR,,151,250,
hunter henry,Hunter Henry,TE,,153,250,
antonio williams,Antonio Williams,WR,,154,250,
dallas goedert,Dallas Goedert,TE,,155,250,
brenton strange,Brenton Strange,TE,,158,250,
oronde gadsden,Oronde Gadsden II,TE,,160,250,
aaron jones,Aaron Jones,RB,,161,250,
tre harris,Tre Harris,WR,,162,250,
jordan mason,Jordan Mason,RB,,163,250,
kaimi fairbairn,Ka'imi Fairbairn,K,,164,250,
pat bryant,Pat Bryant,WR,,165,250,
jalen nailor,Jalen Nailor,WR,,167,250,
ryan flournoy,Ryan Flournoy,WR,,168,250,
jason myers,Jason Myers,K,,170,250,
keon coleman,Keon Coleman,WR,,171,250,
dezhaun stribling,De'Zhaun Stribling,WR,,172,250,
cam little,Cam Little,K,,174,250,
zach charbonnet,Zach Charbonnet,RB,,175,250,
eddy pineiro,Eddy Pineiro,K,,176,250,
woody marks,Woody Marks,RB,,177,250,
shedeur sanders,Shedeur Sanders,QB,,178,250,
rj harvey,RJ Harvey,RB,,179,250,
jake ferguson,Jake Ferguson,TE,,180,250,
evan mcpherson,Evan McPherson,K,,181,250,
jaylin noel,Jaylin Noel,WR,,182,250,
mack hollins,Mack Hollins,WR,,183,250,
germie bernard,Germie Bernard,WR,,185,250,
harrison mevis,Harrison Mevis,K,,186,250,
demario douglas,Demario Douglas,WR,,187,250,
terrance ferguson,Terrance Ferguson,TE,,189,250,
omar cooper,Omar Cooper Jr.,WR,,190,250,
cairo santos,Cairo Santos,K,,191,250,
jake bates,Jake Bates,K,,192,250,
dalton schultz,Dalton Schultz,TE,,193,250,
jakobi lane,Ja'Kobi Lane,WR,,194,250,
isaac teslaa,Isaac TeSlaa,WR,,195,250,
chris bell,Chris Bell,WR,,196,250,
trey smack,Trey Smack,K,,197,250,
tyjae spears,Tyjae Spears,RB,,199,250,
kalif raymond,Kalif Raymond,WR,,200,250,
harrison butker,Harrison Butker,K,,201,250,
jerry jeudy,Jerry Jeudy,WR,,202,250,
malik washington,Malik Washington,WR,,203,250,
deshaun watson,Deshaun Watson,QB,,205,250,
will reichard,Will Reichard,K,,206,250,
jonathon brooks,Jonathon Brooks,RB,,207,250,
rachaad white,Rachaad White,RB,,209,250,
jauan jennings,Jauan Jennings,WR,,210,250,
pat freiermuth,Pat Freiermuth,TE,,212,250,
bryce lance,Bryce Lance,WR,,213,250,
wil lutz,Wil Lutz,K,,215,250,
chris rodriguez,Chris Rodriguez,RB,,216,250,
cooper kupp,Cooper Kupp,WR,,217,250,
darnell mooney,Darnell Mooney,WR,,218,250,
roman wilson,Roman Wilson,WR,,220,250,
cyrus allen,Cyrus Allen,WR,,222,250,
kyle williams,Kyle Williams,WR,,224,250,
tyler loop,Tyler Loop,K,,225,250,
drew lock,Drew Lock,QB,,226,250,
Chig Okonkwo,Chigoziem Okonkwo,TE,,228,250,
elic ayomanor,Elic Ayomanor,WR,,229,250,
andrei iosivas,Andrei Iosivas,WR,,230,250,
joshua palmer,Joshua Palmer,WR,,231,250,
tj hockenson,T.J. Hockenson,TE,,233,250,
kenyon sadiq,Kenyon Sadiq,TE,,234,250,
kendrick bourne,Kendrick Bourne,WR,,235,250,
jahan dotson,Jahan Dotson,WR,,236,250,
tyquan thornton,Tyquan Thornton,WR,,238,250,
tyler allgeier,Tyler Allgeier,RB,,239,250,
travis hunter,Travis Hunter,WR,,240,250,
emanuel wilson,Emanuel Wilson,RB,,241,250,
kavontae turpin,KaVontae Turpin,WR,,242,250,
