N,mean_abs_rank_change,value_weighted_rank_change
100,4.3484,3.3800
200,1.9521,1.1263
300,0.5626,0.3364
400,0.4053,0.2932
500,0.4018,0.2992
600,0.4117,0.3163
700,0.4052,0.3192
800,0.3862,0.3133
900,0.3733,0.3255
1000,0.3731,0.3213
