alpha,mean_abs_rank_change,value_weighted_rank_change
0.0,0.3457,0.2435
0.1,0.4018,0.2992
0.2,0.5800,0.4681
0.3,0.8769,0.6697
0.4,1.4449,1.0649
0.5,1.8516,1.3864
0.6,2.3561,1.8328
0.7,3.1643,2.5571
0.8,3.9431,3.2680
0.9,5.2031,4.4742
1.0,5.9971,5.3634
