lambda,mean_abs_rank_change,value_weighted_rank_change
0.0,0.2025,0.1494
0.05,0.2838,0.2067
0.1,0.3457,0.2435
0.2,0.4953,0.3403
0.3,0.5995,0.4099
0.5,1.0071,0.6599
0.7,1.4632,0.9453
1.0,1.8606,1.2286
1.5,2.1238,1.4862
2.0,2.1170,1.5106
