name,value
2026 Early 1st,5770
2026 Early 2nd,3332
2026 Early 3rd,2372
2026 Early 4th,1780
2026 Late 1st,3941
2026 Late 2nd,2850
2026 Late 3rd,2105
2026 Late 4th,1525
2026 Mid 1st,4668
2026 Mid 2nd,3002
2026 Mid 3rd,2226
2026 Mid 4th,1658
2027 Early 1st,6843
2027 Early 2nd,3801
2027 Early 3rd,2537
2027 Early 4th,1857
2027 Late 1st,4818
2027 Late 2nd,3077
2027 Late 3rd,2256
2027 Late 4th,1668
2027 Mid 1st,5612
2027 Mid 2nd,3402
2027 Mid 3rd,2381
2027 Mid 4th,1783
2028 Early 1st,5027
2028 Early 2nd,3106
2028 Early 3rd,2164
2028 Early 4th,1639
2028 Late 1st,3926
2028 Late 2nd,2748
2028 Late 3rd,1955
2028 Late 4th,1280
2028 Mid 1st,4536
2028 Mid 2nd,2906
2028 Mid 3rd,2109
2028 Mid 4th,1561
A.J. Brown,4759
Aaron Jones,2119
Aaron Rodgers,1875
Adam Trautman,704
Adonai Mitchell,2732
Aidan O'Connell,990
Ainias Smith,844
AJ Barner,2878
AJ Dillon,800
Alec Pierce,4340
Alexander Mattison,831
Alvin Kamara,2113
Amon-Ra St. Brown,7758
Andrei Iosivas,1707
Anthony Richardson,2553
Antonio Gibson,767
Antonio Williams,1292
Arian Smith,1057
Ashton Jeanty,7445
Audric Estime,1645
Baker Mayfield,4746
Bam Knight,1419
Barion Brown,682
Ben Sinnott,1879
Bhayshul Tuten,3920
Bijan Robinson,9999
Blake Corum,3249
Bo Melton,1106
Bo Nix,6265
Braelon Allen,2742
Brandon Aiyuk,2537
Brashard Smith,2141
Breece Hall,5423
Brenden Rice,839
Brenton Strange,3066
Brevin Jordan,1050
Brian Robinson,2285
Brian Thomas,4913
Brock Bowers,7720
Brock Purdy,5965
Brock Wright,989
Bryce Young,4520
Bub Means,919
Bucky Irving,5029
C.J. Stroud,4847
Cade Klubnik,1020
Cade Otton,2460
Cade Stover,1488
Caleb Williams,7793
Calvin Austin,1659
Calvin Ridley,1867
Cam Akers,967
Cam Skattebo,4453
Cam Ward,5126
Carnell Tate,5190
Carson Wentz,791
Cedric Tillman,2124
CeeDee Lamb,7388
Charlie Kolar,1049
Chase Brown,4977
Chigoziem Okonkwo,2807
Chimere Dike,2697
Chris Bell,1986
Chris Brazzell,2179
Chris Brooks,1114
Chris Godwin,2903
Chris Olave,5729
Chris Rodriguez,2326
Christian Kirk,2081
Christian McCaffrey,5140
Christian Watson,3620
Chuba Hubbard,3400
CJ Daniels,901
Colby Parkinson,2153
Cole Kmet,2050
Colston Loveland,6042
Cooper Kupp,1854
Courtland Sutton,3133
Curtis Samuel,743
D'Andre Swift,3553
D.J. Moore,3890
Dak Prescott,5041
Dallas Goedert,2599
Dalton Kincaid,3331
Dalton Schultz,2310
Dameon Pierce,1137
Damien Martinez,1207
Daniel Bellinger,1563
Daniel Jones,4230
Darius Slayton,1573
Darnell Mooney,2136
Darnell Washington,1910
Darren Waller,1151
Davante Adams,3523
David Montgomery,3449
David Njoku,2639
Davis Allen,1065
Davis Mills,1617
Dawson Knox,1731
De'Von Achane,6812
DeAndre Hopkins,849
Deebo Samuel,2473
Deion Burks,931
Demarcus Robinson,920
Demario Douglas,2129
Demond Claiborne,1124
Denzel Boston,3390
Derius Davis,691
Derrick Henry,3813
Deshaun Watson,1383
Deuce Vaughn,958
Devaughn Vele,1752
Devin Neal,2279
Devin Singletary,1449
DeVonta Smith,4921
Devontez Walker,1433
Dillon Gabriel,1597
DJ Giddens,2128
DK Metcalf,3615
Donovan Edwards,1077
Dont'e Thornton,2155
Dontayvion Wicks,2375
Drake London,6911
Drake Maye,9397
Drew Lock,1035
Dyami Brown,1437
Dylan Sampson,2748
Efton Chism,1480
Eli Stowers,2657
